# Acronym registry — checked by scripts/check-content.py.
#
# Format:  ACRONYM<TAB>expansion       page must spell it out or link it
#          ACRONYM<TAB>-               common knowledge / proper noun; exempt
#
# The check is per page: any page using an acronym with an expansion must
# contain that expansion somewhere, or wrap the acronym in a link to the page
# that defines it. Adding a new acronym to a page fails the check until it is
# listed here, which is the point — the decision is forced, not forgotten.
#
# Plurals are folded automatically ("AMMs" -> AMM, "DEXes" -> DEX).

# --- DeFi and crypto -------------------------------------------------------
ABI	application binary interface
YAML	-
RSS	-
MDN	-

# --- Exempt: general knowledge, proper nouns, tickers, product names -------
AI	-
ALAP	-
ALGOL	-
AMA	-
AMD	-
ANSI	-
AO	-
API	-
AR	-
ARM	-
ASAP	-
AST	-
ATM	-
AVAX	-
AWS	-
BEAM	-
BLS12	-
BN254	-
BNB	-
BPO1	-
BPO2	-
BSC	-
BTC	-
CAD	-
CAM	-
CDN	-
CEO	-
CFR	-
CI	-
CLA	-
CLAUDE	-
CLI	-
CLRS	-
COM	-
COMP	-
CPM	-
CPU	-
CUDA	-
CVC	-
CWE	-
DA	-
DAI	-
DB	-
DCO	-
DEEP	-
DELETE	-
DID	-
DNS	-
DSL	-
DTD	-
ECC	-
EOF	-
ERC20	-
EOS	-
ETH	-
EWS	-
FAQ	-
FBI	-
FCA	-
FCC	-
FIFO	-
FIN	-
FIT21	-
FPC	-
GB	-
GDP	-
GET	-
GH	-
GPG	-
GPT	-
GPU	-
GRT	-
GUI	-
HSBC	-
HTTP	-
HTTPS	-
HV	-
IBM	-
ID	-
II	-
III	-
IMAP	-
IOTA	-
IP	-
ISC	-
ISO	-
JIT	-
JPG	-
JSON	-
JVM	-
JWS	-
JWT	-
KB	-
KP3R	-
LBC	-
LBRY	-
LINK	-
LLC	-
MB	-
MDPI	-
MIOTA	-
MITRE	-
ML	-
MUST	-
NFC	-
NIZK	-
NP	-
OCR	-
OG	-
OID	-
ONC	-
OPL	-
OS	-
OTP	-
OWA	-
PATCH	-
PGA	-
PHP	-
PID	-
PLONK	-
PNC	-
PNG	-
POL	-
POP	-
POST	-
PR	-
PUT	-
R1CS	-
RAM	-
RBS	-
RCS	-
REIT	-
REP	-
REPL	-
REST	-
RFC	-
RGP	-
RNG	-
ROFL	-
ROSE	-
RPC	-
RSA	-
SD	-
SDK	-
SEND	-
SIM	-
SMR	-
SMS	-
SMTP	-
SNP	-
SOAP	-
SOL	-
SQL	-
SSE	-
SSN	-
STARK	-
SUI	-
SVG	-
TD	-
TEST	-
TLD	-
TTL	-
TXT	-
TWIN	-
UI	-
UK	-
UMA	-
UN	-
UNCX	-
UNI	-
URI	-
URL	-
US	-
USA	-
USB	-
USD	-
USDC	-
USDI	-
USDT	-
USENIX	-
UTC	-
UTF	-
UX	-
VBA	-
VC	-
VM	-
VS	-
VSTO	-
W3C	-
WAL	-
WBTC	-
WETH	-
WS	-
WSL	-
WSL2	-
XL	-
XML	-
XRP	-
YOU	-

# --- Fraud -----------------------------------------------------------------
APT	advanced persistent threat
BEC	business email compromise
CISA	Cybersecurity and Infrastructure Security Agency
ETF	exchange-traded fund
DOJ	Department of Justice
DPRK	Democratic People's Republic of Korea
FIDO	Fast Identity Online
FTC	Federal Trade Commission
HSI	Homeland Security Investigations
HYIP	high-yield investment program
IC3	Internet Crime Complaint Center
ICO	initial coin offering
IDO	initial DEX offering
IEO	initial exchange offering
IPO	initial public offering
KYT	know your transaction
MFA	multi-factor authentication
MLM	multi-level marketing
RAT	remote access trojan
ROI	return on investment
SAFT	simple agreement for future tokens
SDNY	Southern District of New York
SS7	Signaling System No. 7
TOTP	time-based one-time password
VPN	virtual private network

# --- Exempt: fraud-adjacent proper nouns, tickers, product names -----------
IEEE	-
SHA	-
TWT	-
AAVE	-
AMPL	-
BONK	-
CRV	-
JTO	-
JUP	-
LDO	-
LDY	-
LIQ	-
LMTS	-
MOR	-
PAXG	-
PEPE	-
PYTH	-
RENDER	-
STA	-
ZIL	-
AT	-
CFO	-
CTO	-
DYOR	-
EU	-
FTT	-
FTX	-
HTML	-
IB	-
IDE	-
IT	-
KK	-
LUNA	-
MEXC	-
NPM	-
PIN	-
QR	-
SBF	-
TRM	-
TRON	-
FIDO2	-
TRX	-
U2F	-
UST	-
